(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0): 0.5000000000918167
(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0): 0.5005414869369711
(0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0): 0.5013275614071665
(0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0): 0.5
(0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0): 0.5
(0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 1.0): 0.5
(0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 1.0): 0.5
(0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0): 0.5950000000000001
(2.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0): 1
(0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0): 0.5009126771716124
(0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0): 0.5
(0.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0): 0.5
(0.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0): 0.4999999999999998
(1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0): 0.5
(1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 2.0): 0.45
(1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0): 0
(0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0): 0.49949634085258454
(0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0): 0.49995704746528447
(0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 0.0): 0.5
(0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0): 0.45
(0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0): 0.5
(0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0): 0.5455000000000001
